,클러스터,PBR_기준,투자기간,결과
932,1,7,730,0.2
933,1,8,730,0.2
934,1,9,730,0.2
935,1,10,730,0.2
936,1,11,730,0.23125379990542458
937,1,12,730,0.23125379990542458
938,1,13,730,0.23125379990542458
939,1,14,730,0.23125379990542458
940,1,15,730,0.23125379990542458
941,1,16,730,0.23125379990542458
942,1,17,730,0.23125379990542458
943,1,18,730,0.23125379990542458
944,1,19,730,0.23125379990542458
945,1,5,760,0.37333333333333335
946,1,6,760,0.37333333333333335
947,1,7,760,0.37333333333333335
948,1,8,760,0.37333333333333335
949,1,9,760,0.37333333333333335
950,1,10,760,0.37333333333333335
951,1,11,760,0.36312903476705294
952,1,12,760,0.36312903476705294
953,1,13,760,0.36312903476705294
954,1,14,760,0.36312903476705294
955,1,15,760,0.36312903476705294
956,1,16,760,0.36312903476705294
957,1,17,760,0.36312903476705294
958,1,18,760,0.36312903476705294
959,1,19,760,0.36312903476705294
960,1,5,790,0.2776280323450135
961,1,6,790,0.2776280323450135
962,1,7,790,0.2776280323450135
963,1,8,790,0.2776280323450135
964,1,9,790,0.2776280323450135
965,1,10,790,0.2776280323450135
966,1,11,790,0.31025410792852653
967,1,12,790,0.31025410792852653
968,1,13,790,0.31025410792852653
969,1,14,790,0.31025410792852653
970,1,15,790,0.31025410792852653
971,1,16,790,0.31025410792852653
972,1,17,790,0.31025410792852653
973,1,18,790,0.31025410792852653
974,1,19,790,0.31025410792852653
975,1,5,820,0.20702402957486138
976,1,6,820,0.20702402957486138
977,1,7,820,0.20702402957486138
978,1,8,820,0.20702402957486138
979,1,9,820,0.20702402957486138
980,1,10,820,0.20702402957486138
981,1,11,820,0.22948116924622972
982,1,12,820,0.22948116924622972
983,1,13,820,0.22948116924622972
984,1,14,820,0.22948116924622972
985,1,15,820,0.22948116924622972
986,1,16,820,0.22948116924622972
987,1,17,820,0.22948116924622972
988,1,18,820,0.22948116924622972
989,1,19,820,0.22948116924622972
990,1,5,850,0.22911051212938005
991,1,6,850,0.22911051212938005
992,1,7,850,0.22911051212938005
993,1,8,850,0.22911051212938005
994,1,9,850,0.22911051212938005
995,1,10,850,0.22911051212938005
996,1,11,850,0.28195837941879187
